datetime,open,high,low,close
3/20/2024,2.38095E-05,2.38095E-05,2.3801E-05,2.38095E-05
3/19/2024,2.37954E-05,2.38095E-05,2.37954E-05,2.37954E-05
3/18/2024,2.37954E-05,2.37954E-05,2.37954E-05,2.37954E-05
3/15/2024,2.38095E-05,2.38095E-05,2.38095E-05,2.38095E-05
3/14/2024,2.37954E-05,2.37954E-05,2.37954E-05,2.37954E-05
3/13/2024,2.3801E-05,2.38095E-05,2.3801E-05,2.3801E-05
3/12/2024,2.38095E-05,2.38095E-05,2.38095E-05,2.38095E-05
3/11/2024,2.38067E-05,2.38095E-05,2.38067E-05,2.38067E-05
3/8/2024,2.38095E-05,2.38095E-05,2.38067E-05,2.38095E-05
3/7/2024,2.3801E-05,2.3801E-05,2.3801E-05,2.3801E-05
3/6/2024,2.38095E-05,2.38095E-05,2.37954E-05,2.37954E-05
3/5/2024,2.38095E-05,2.38095E-05,2.37954E-05,2.37954E-05
3/4/2024,2.38095E-05,2.38095E-05,2.37954E-05,2.37954E-05
3/1/2024,2.38095E-05,2.38095E-05,2.38095E-05,2.38095E-05
2/29/2024,2.37954E-05,2.38095E-05,2.37954E-05,2.37954E-05
2/28/2024,2.38095E-05,2.38095E-05,2.37954E-05,2.38095E-05
2/27/2024,2.38095E-05,2.38095E-05,2.37954E-05,2.38095E-05
2/26/2024,2.38095E-05,2.38095E-05,2.38067E-05,2.38067E-05
2/23/2024,2.38067E-05,2.38067E-05,2.38067E-05,2.38067E-05
2/22/2024,2.3801E-05,2.38095E-05,2.3801E-05,2.3801E-05
2/21/2024,2.3801E-05,2.38095E-05,2.3801E-05,2.3801E-05
2/20/2024,2.38095E-05,2.38095E-05,2.38095E-05,2.38095E-05
2/19/2024,2.38095E-05,2.38095E-05,2.38095E-05,2.38095E-05
2/16/2024,2.38067E-05,2.38095E-05,2.38067E-05,2.38067E-05
2/15/2024,2.38095E-05,2.38095E-05,2.38095E-05,2.38095E-05
2/14/2024,2.38067E-05,2.38095E-05,2.38067E-05,2.38067E-05
2/13/2024,2.38095E-05,2.38095E-05,2.3801E-05,2.38095E-05
2/12/2024,2.38095E-05,2.38095E-05,2.38095E-05,2.38095E-05
