datetime,open,high,low,close,volume
5/9/2022,447.029999,448.78,437.12,438.84,1354500
5/6/2022,441.53,449.57999,439.91,449.42999,1409800
5/5/2022,445.73999,447.47,438.60999,443.14999,1183800
5/4/2022,437.029999,445.98999,434.89001,445.73999,1172600
5/3/2022,434.38,437.60001,430.95999,434.76999,1332000
5/2/2022,429.60001,437.48999,426.14999,430.81,1397100
4/29/2022,444.42999,445.01001,430.38,432.12,1479500
4/28/2022,449,449,437.51999,441.70999,1348800
4/27/2022,446.23001,452,439.26999,444.98001,1017500
4/26/2022,447.040009,452.32001,443.17999,446.089996,1440400
4/25/2022,443,444.82001,433.26999,442.89001,1499800
4/22/2022,440.89001,450.89999,438.39001,445.79001,1451700
4/21/2022,455,455.95001,438.85001,439.54001,1937600
4/20/2022,459.88,461.35999,452.78,453.87,1636200
4/19/2022,462.48999,475.5,458.42999,459.89999,2044000
4/18/2022,467,471.97,459.10999,467.44,1638900
4/14/2022,471.91,473.73001,466.040009,467.66,1965200
4/13/2022,471,474.60999,466.25,469.19,1212400
4/12/2022,466.20001,471.73999,461.38,467.54999,1502300
4/11/2022,463.79001,474.45001,462.19,464.25,1911200
4/8/2022,467.72,471.59,459.60999,461.51999,1710700
4/7/2022,453,467.39999,450.79001,465.51001,2032700
4/6/2022,446.38,457.56,446.38,454.57999,1941400
4/5/2022,445,454.81,443.38,447.23999,2240200
4/4/2022,447.48001,448,439.54999,444.01001,1166300
4/1/2022,442.22,448.98999,438.82001,445.98001,1174200
3/31/2022,441.95999,448.87,441,441.39999,1660700
3/30/2022,439.32001,447.059998,439.31,445.95001,1719500
3/29/2022,433.25,438.12,429.32001,437.14999,2451100
3/28/2022,449.32001,450.45999,443.31,444.98001,1676200
3/25/2022,450.029999,457.53,450,453.66,1646300
3/24/2022,445.29999,451.5,443.23001,449.73001,1375400
3/23/2022,444,447.5,442.35001,445.25,1715100
3/22/2022,439.45001,443.84,434.19,440.59,2113800
3/21/2022,431.63,447.92999,431.63,440,3245200
3/18/2022,434.67001,437.48999,421.70001,426.17999,5215700
3/17/2022,427.059998,431.78,424.79999,428.59,2947700
3/16/2022,435.049988,436.89001,411.35999,421.34,5815500
3/15/2022,444.75,450.42001,440.28,448.67001,1778700
3/14/2022,449.44,449.78,439.20999,444.45001,2475700
3/11/2022,442,448.69,438.60999,439.040009,2649100
3/10/2022,450.63,456.95999,442.23999,444.35999,3049600
3/9/2022,437.5,455.73999,432.42999,448.72,3477300
3/8/2022,463.78,468,448.35999,448.98999,4133700
3/7/2022,463.01001,479.98999,463,466.14999,5210100
3/4/2022,450.049988,462.66,443.070007,458.14999,3320300
3/3/2022,444.72,455.89999,437.44,447.82001,4603500
3/2/2022,445.37,451.56,429.28,450,5003400
3/1/2022,435,458.53,435,456.60999,5719300
2/28/2022,413.81,433.89999,413.5,433.79999,5808600
2/25/2022,395.23001,414.45001,395.22,409.48999,3376300
2/24/2022,398.23001,398.98001,387.42001,395.70999,4140900
2/23/2022,389.17001,390.28,384.5,388.89999,1839500
2/22/2022,391.26999,393.42001,385.070007,386.20001,1680900
2/18/2022,389.14001,391.079987,385.70999,386.45999,1459900
2/17/2022,386.12,391.69,385.76999,388.76999,1248800
2/16/2022,382.85001,388.70999,382,386.89999,1776800
2/15/2022,381.91,387.29999,378.32001,382.22,2418600
2/14/2022,393.98001,395.51999,383.79001,386.97,2799800
2/11/2022,386.76001,398.85001,385.35001,396.19,3276400
2/10/2022,393.040009,395.66,383.92999,385.42999,2301100
2/9/2022,395.5,397.62,393.69,394.54001,1541900
2/8/2022,395.67999,396.84,390.60001,396.040009,1311400
2/7/2022,392,395.57999,388.29999,392.34,1243000
2/4/2022,388,392.84,385.32001,389.32999,1645800
2/3/2022,388.17999,392.17001,386.39001,389.70001,1649000
2/2/2022,386.10999,388.35001,385.01001,387.34,1620600
2/1/2022,390.22,390.51001,386.20999,387.01001,1951100
1/31/2022,390.5,390.98999,384.67999,389.13,2363400
1/28/2022,389.10001,393.32999,384.78,393.14999,2145100
1/27/2022,389.39001,395.60001,384.73999,389.079987,2566200
1/26/2022,388,393.63,383.70001,391.23999,3640500
1/25/2022,377.85001,388,370.78,387.17001,3182400
1/24/2022,369.54999,374.54001,365.34,373.32999,3022300
1/21/2022,374,377.10001,369.67999,371.20001,2795400
1/20/2022,377.01001,381.14999,374.01001,375.13,2109100
1/19/2022,375.5,381.45001,374.17999,377.32999,3336700
1/18/2022,370.45001,377.35999,368.85999,376.54001,2471600
1/14/2022,365.17999,372.98999,363.97,372.62,2165000
1/13/2022,362.059998,367.35999,360.12,365.17999,1244000
1/12/2022,363.38,366.16,359.45001,361.29999,1477100
1/11/2022,364.01001,365.040009,361.26999,364.14001,1128000
1/10/2022,363,369.45999,361.41,363.25,2389900
1/7/2022,359.079987,362.98999,358.14999,360.14001,1634600
1/6/2022,360,361.23999,357.54999,358,1368800
1/5/2022,363,364,357.87,358.14001,1682200
1/4/2022,355.53,363.54001,355.20999,361.98999,1361100
1/3/2022,354.67999,356.59,353.029999,354.35999,1205700
12/31/2021,353.17001,357.059998,351.56,355.41,887200
12/30/2021,355,357.82999,353.51001,353.57999,778500
12/29/2021,353.44,355.5,352.69,354.26999,771700
12/28/2021,350.059998,355.17001,349.51001,353.75,827500
12/27/2021,347.10001,350.81,347,350.28,965900
12/23/2021,343.78,348.32001,343.78,347.019989,1061200
12/22/2021,341.16,344.35001,341.029999,343.14001,1311400
12/21/2021,338.76999,343.38,338.64999,340.76999,2352400
12/20/2021,341,341.19,333.42001,337.42001,2315400
12/17/2021,345.54999,347.16,342.92001,344.14001,2749500
12/16/2021,345.67001,347.95999,343.67001,344.84,1185900
12/15/2021,345.39001,345.64001,340,344.42001,1208900
12/14/2021,343.75,348.39999,343.75,345.64001,1786000
12/13/2021,344.39999,346.79999,341.51001,345.54999,1740700
12/10/2021,345.84,347.23999,344.60001,344.88,1180700
12/9/2021,339.94,345.10999,338.26999,343.60001,1591500
12/8/2021,339.70999,342.38,339.019989,341.079987,1376900
12/7/2021,340,342.10999,338.79999,339.17001,1540700
12/6/2021,337.25,342.41,337.25,339.95999,1946900
12/3/2021,331.35001,334.38,330.34,333.81,1603200
12/2/2021,330,333.91,328.32999,330.53,1804100
12/1/2021,335,335.95001,328.20001,328.42001,2248300
11/30/2021,337.20001,338.35999,333.029999,333.32001,2763200
11/29/2021,344,344.60001,339.20001,341.23001,1492300
11/26/2021,339.29001,343.23001,338.079987,342.72,1079900
11/24/2021,344.85999,347,343.049988,343.57999,1134500
11/23/2021,344.98001,348.089996,344.67001,345.17999,1212700
11/22/2021,341.73001,347.59,341.48001,344.98001,1229400
11/19/2021,340.88,343,339.35001,341.44,1426500
11/18/2021,342.72,343.10999,340.20999,342.079987,1431300
11/17/2021,339.48001,343.54999,339.48001,341.98999,1751000
11/16/2021,341.89001,343.64001,339.76001,340.37,1307500
11/15/2021,339.54999,341.64999,339.42999,340.92001,1068600
11/12/2021,335.62,340.39001,335.029999,339.059998,1097400
11/11/2021,337.14001,337.20999,333.29999,335.89001,1216500
11/10/2021,338.76999,340.70001,337.5,337.63,1268700
11/9/2021,341.38,342,337.10001,338.17001,1769200
11/8/2021,341.63,343.019989,337.57999,341.78,1733000
11/5/2021,336.95001,340.51999,336.35001,339.89001,2145300
11/4/2021,331.29999,335.73999,331.29999,335.5,1847900
11/3/2021,325.5,333.10001,324.23001,331.35001,1902600
11/2/2021,331.45001,332.040009,325.31,326.31,2745000
11/1/2021,330.47,334.20001,330.070007,330.92999,1865000
10/29/2021,330,334.35999,328.84,332.32001,1821500
10/28/2021,330,334.85999,325.14001,331.39001,2874600
10/27/2021,333,336.42999,330.54001,330.94,2822900
10/26/2021,348.32999,351.20001,326,331.91,9439700
10/25/2021,375.91,378.10001,374.60999,376.32999,1350300
10/22/2021,373.92999,377.019989,372.25,374.60001,1092000
10/21/2021,371.63,373.26001,367.14001,373.14001,803600
10/20/2021,371.78,372.57001,369.79999,371.13,955200
10/19/2021,366.5,371.17999,363.64999,371.070007,1051300
10/18/2021,364.32999,367.88,361.88,365,1014600
