datetime,open,high,low,close
7/8/2025,3333.8,3345.7,3287.21,3301.03
7/7/2025,3334.01,3342.05,3296.5,3336.82
7/6/2025,3335.2,3339.5,3332.1,3334.6
7/5/2025,3335.24,3339.8,3331.3,3336.7
7/4/2025,3323.5,3344.98,3322.7,3336.8
7/3/2025,3352,3365.61,3311.66,3323.9
7/2/2025,3336.1,3359.060059,3325.7,3352
7/1/2025,3305.4,3357.96997,3300,3336.4
6/30/2025,3272.3,3309.21997,3248.98,3302.90991
6/29/2025,3273.8,3273.8,3271.9,3272
6/28/2025,3278.3,3284.3,3273.67,3284.3
6/27/2025,3326.7,3329,3255.97998,3278
6/26/2025,3331.1,3350.25,3310,3328.09
6/25/2025,3325.5,3337.3,3313.41992,3332.13989
6/24/2025,3370.9,3383.3,3299.91992,3324.9
6/23/2025,3412.9,3419.5,3347.02,3369.1001
6/22/2025,3409.5,3434.2,3406.3,3413.8
6/21/2025,3373.4,3381.9,3373.2,3380.3
6/20/2025,3381.3,3381.3,3340.32,3368.76
6/19/2025,3371.9,3389.2,3347.72998,3381.2
6/18/2025,3388.7,3399.98,3362.68994,3372.1
6/17/2025,3384.6,3403.21,3366.09,3387.3
6/16/2025,3446,3455.7,3383,3383.53
6/15/2025,3453.7,3458.1,3453.6,3457.7
6/14/2025,3436.2,3447.7,3430,3438.1
6/13/2025,3382,3446.58,3379.82,3432.19
6/12/2025,3352.3,3398.78,3338.68,3381.9
6/11/2025,3321.7,3360.6,3315.45,3352.3
6/10/2025,3327.2,3348.99,3302.09,3323.47
6/9/2025,3315,3338.20996,3293.58,3327.6
6/8/2025,3316,3321.6,3315.3,3319.1
6/7/2025,3318.1,3324.7,3315.2,3317.9
6/6/2025,3353.1,3375.45,3307.1,3310.1
6/5/2025,3376.5,3403.33,3339.5,3353
6/4/2025,3354.3,3384.66,3343.75,3372.34
6/3/2025,3381.01,3392.07,3333.38,3354.3
6/2/2025,3296.6,3382.66,3295.29,3381.02
6/1/2025,3297.1,3298.5,3295.5,3295.5
5/31/2025,3295.8,3301.1,3291.5,3291.8
5/30/2025,3317.11,3323.8,3277.61,3288.52
5/29/2025,3291.2,3328.34,3249.59,3317.95
5/28/2025,3300,3325.27,3277,3291.4
5/27/2025,3345.6,3353.6,3288.25,3299.7
5/26/2025,3354.88,3356.51,3324,3346.6
5/25/2025,3360.6,3364.5,3359.7,3359.7
5/24/2025,3356.8,3359.5,3350.1,3355.7
5/23/2025,3298.7,3366,3287,3355.9
5/22/2025,3314.4,3345.31,3279.27,3294.79
5/21/2025,3285.4,3324.65,3284.6,3315.56
5/20/2025,3232,3295.54,3204.53,3285.1
5/19/2025,3229,3249.65,3206,3229.15
5/18/2025,3209.2,3212.4,3206.7,3208.3
5/17/2025,3209.6,3211.5,3199.3,3207.2
5/16/2025,3245,3252.5,3154.27,3209.7
5/15/2025,3181.2,3245.2,3120.92,3244.5
5/14/2025,3247.8,3256.97,3167.95,3181.2
5/13/2025,3237.6,3265.33,3215.92,3248.5
5/12/2025,3290,3305.79,3207.7,3235.24
5/10/2025,3326.9,3332.7,3320.7,3322
5/9/2025,3309.6,3347.26,3275,3323.64
5/8/2025,3366.7,3414.52,3288.91,3309.4
5/7/2025,3435,3440.4,3360.23,3366.6
5/6/2025,3340.6,3440,3323.53,3434.7
5/5/2025,3252.8,3341.1,3236.68,3335
5/4/2025,3255.7,3255.9,3252.6,3252.7
5/3/2025,3255.4,3259.8,3244.3,3257
5/2/2025,3250.3,3269.02,3223,3254.9
5/1/2025,3292.2,3293.6,3201.9,3238.64
4/30/2025,3317.2,3325.7,3267.16,3292
4/29/2025,3344,3347.15,3304.6,3317.6
4/28/2025,3319.8,3352.91,3274.3,3344.1
4/27/2025,3315.1,3324.6,3315.1,3321
4/26/2025,3316.6,3319.6,3309.9,3314
4/25/2025,3354.8,3376.8,3270.6,3316.3
4/24/2025,3303.9,3388.5,3298.9,3354.9
4/23/2025,3392.6,3403.1,3281.5,3303.3
4/22/2025,3423.49,3499.87,3381.2,3394.4
4/21/2025,3327.93,3430.47,3327.93,3422.8
4/19/2025,3326.27,3326.27,3326.27,3326.27
4/18/2025,3326.27,3326.27,3326.27,3326.27
4/17/2025,3344.05,3345.29,3283.94,3326.19
4/14/2025,3222.11011,3245.76001,3213.87988,3222.050049
4/11/2025,3177.28003,3245.36011,3176.51001,3238.18994
4/10/2025,3081.51001,3176.41992,3071.62012,3175.47998
4/9/2025,2984.53003,3099.46997,2970.13989,3083.16992
4/8/2025,2982.71997,3022.67993,2975.060059,2982.15991
4/7/2025,3029.8999,3055.63989,2956.90991,2982.030029
4/5/2025,3036.31006,3041.070068,3033.8999,3038.17993
4/4/2025,3107.71997,3136.28003,3016.16992,3036.47998
4/3/2025,3124.41992,3167.70996,3054.31006,3107.63989
4/2/2025,3118.67993,3135.77002,3107.8999,3124.19995
4/1/2025,3124.3501,3149.030029,3100.90991,3118.69995
